prompt,dataset,label
How does duration impact the price volatility of a bond?,finance,1
Determining current value for real estate for inheritance purposes,finance,1
Does Edmunds get a kick-back from the use of Edmunds Price Promise?,finance,1
What are the different categories of expenses that can be reported in the income statement?,finance,1
What exactly is the interest rate that the Fed is going to adjust?,finance,1
What type of low-cost stock index exchange-traded fund (ETF) would give the best long-term total return?,finance,1
What are the key characteristics of fixed income securities?,finance,1
"Is it accurate to say that if I was to trade something, my probability of success can't be worse than random?",finance,1
What are some challenges in ensuring the relevance and materiality of corporate disclosures?,finance,1
Describe the strategies used to manage downgrade risk in fixed income portfolios.,finance,1
"What steps should be taken, if any, when you find out your home's market value is underwater, i.e. worth less than the mortgage owed?",finance,1
What is the purpose of hedge funds?,finance,1
What is the economic explanation for the high cost of weddings?,finance,1
What are the benefits of estate planning in wealth management?,finance,1
"What is the difference between cash flows from operating activities, investing activities, and financing activities?",finance,1
How to check the paypal's current exchange rate?,finance,1
What are some examples of mandatory corporate disclosures?,finance,1
Is there a good forum where I can discuss individual US stocks?,finance,1
How is a relocation fee of more than 40k taxed?,finance,1
What are some key indicators of financial health that can be derived from a company's balance sheet?,finance,1
Do I make money in the stock market from other people losing money?,finance,1
What does inflation actually mean? [duplicate],finance,1
What are the potential drawbacks of investing in hedge funds?,finance,1
Why are some funds only recommended for investors starting out?,finance,1
If something is coming into my account will it be debit or credit in my account?,finance,1
How does the purchase of shares on the secondary market benefit the issuing company?,finance,1
What are some challenges in ensuring the accessibility and usability of corporate disclosures?,finance,1
using credit card and paying back quickly,finance,1
investing - where to trade online? (Greek citizen),finance,1
Offshore bank account with online International wire-transfer facility for Indians,finance,1
Explain the calculation of sustainable growth rate (SGR) and its interpretation in equity security analysis.,finance,1
How do you account for differences in risk profiles between comparable companies in Relative Valuation?,finance,1
What are the key characteristics of a protective put strategy? How does it help investors manage risk?,finance,1
What is the incentive for a bank to refinance a mortgage at a lower rate?,finance,1
What is the importance of analyzing a company's capital leases on the balance sheet?,finance,1
Claiming car as a business expense in the UK,finance,1
Are mutual funds safe from defaults?,finance,1
How much should a new graduate with new job put towards a car?,finance,1
How can changes in deferred taxes affect cash flow from operations?,finance,1
What are the main considerations when selecting securities for a growth-oriented portfolio?,finance,1
VAT and duties payable when importing personal goods from Switzerland and the Channel Islands to the EU?,finance,1
How can industry analysis help in determining the long-term sustainability of a company's competitive position?,finance,1
How is the debt-to-equity ratio calculated and what does it indicate?,finance,1
Is there a term for total money owed to you?,finance,1
How can conflicts of interest impact the decision-making process in the investment profession?,finance,1
"If I were to get audited, what would I need?",finance,1
What are the guidelines for CFA Institute members when providing investment advice?,finance,1
What are some of the key factors that drive the returns in venture capital investments?,finance,1
High-risk investing is better for the young? Why?,finance,1
"What should I do with $4,000 cash and High Interest Debt?",finance,1
Double entry for mortgage,finance,1
How can the income statement be used to analyze a company's return on equity?,finance,1
Is interest on a personal loan tax deductible?,finance,1
How can the income statement be used to assess a company's ability to sustain its dividend payments?,finance,1
Accepted indicators for stock market valuation,finance,1
What are some recent developments in the equity investing environment?,finance,1
Explain the concept of aggregate supply and its relationship with economic growth.,finance,1
Investing in third world countries,finance,1
Explain the difference between passive and active portfolio strategies in fixed income.,finance,1
How can changes in the number of outstanding shares impact the forecasted earnings per share in income statements?,finance,1
How can investors diversify their portfolios to manage market risk in equity investments?,finance,1
"Paid cash for a car, but dealer wants to change price",finance,1
"Pros, cons, and taxation of Per Diem compensation?",finance,1
What is credit risk and how is it managed in fixed income portfolios?,finance,1
"Discuss the impact of outliers on the mean, median, and mode.",finance,1
What are some emerging trends in corporate disclosure practices?,finance,1
What is the impact of weather conditions on commodity prices?,finance,1
Why would this kind of penny stock increase so much in value?,finance,1
Explain the relationship between money supply and inflation.,finance,1
Explain how common size analysis can be used to evaluate a company's operating performance.,finance,1
How is credit spread calculated for a bond?,finance,1
Should you always max out contributions to your 401k?,finance,1
Whether to prepay mortgage or invest in stocks,finance,1
What are the fundamental levels that makes a Stock Ideal? (either to sell or buy),finance,1
Can I buy only 4 shares of a company?,finance,1
What factors are considered in the Relative Valuation method of equity valuation?,finance,1
What are the different approaches to relative valuation in equity valuation?,finance,1
What one bit of financial advice do you wish you could've given yourself five years ago?,finance,1
"Where can I invest my retirement savings money, where it is safer than stocks?",finance,1
What are the potential risks associated with regulatory arbitrage in the alternative investments industry?,finance,1
Explain the concept of spread duration and how it is used to measure credit risk.,finance,1
"Best way to start investing, for a young person just starting their career?",finance,1
Explain the concept of contango in futures contracts.,finance,1
What are the main characteristics of hedge funds?,finance,1
Explain the concept of yield spread narrowing and its impact on interest rate risk.,finance,1
What are the main factors to consider when designing a fixed income portfolio strategy?,finance,1
Do Americans really use checks that often?,finance,1
What effect would currency devaluation have on my investments?,finance,1
Explain the concept of effect size in hypothesis testing.,finance,1
How do venture capital firms support the growth and development of their portfolio companies?,finance,1
Explain the Price-to-Book (P/B) multiple in Relative Valuation.,finance,1
What should I look at before investing in a start-up?,finance,1
Discuss the factors that can affect the forecasting of total equity in a balance sheet.,finance,1
Compare and contrast the DCF and Relative Valuation methods of equity valuation.,finance,1
What do liquidity ratios indicate in fundamental analysis?,finance,1
What is the difference between top-down and bottom-up attribution analysis?,finance,1
What are the potential conflicts of interest related to record keeping and documentation between investment professionals and their clients?,finance,1
How does the yield on my investments stack up against other investors?,finance,1
How can investment professionals ensure that their communication with clients is transparent and easily understandable?,finance,1
How to correctly track a covered call write (sell to open) in double-entry accounting?,finance,1
"I ve been experiencing a weakness on my lower left side, legs, after having lower left side back pain, it moved to my left leg. That s been going on for 4 days, no other symptoms. Today, I got very numb and started sweating and felt very out of it. Any ideas?",healthcare,2
"Im a 17 year old girl. I feel empty and tired all the time. I have at least one outburst every single day, when I feel fustrated, empty and angry. Ive been low pretty much all the time for a month, I cant seem to shake these feeling off, Ive tried relaxtion methods, the methods do help, but I cant return to my normal state, even when I forget about my sadness, after a while I realise I still feel empty, its like it doesnt leave me. Also I seem to have trouble concentrating on my homework, its difficult to study, I have to force myself, because now Im concerned about my grades. Ive lost interest in activities, I feel distant from people. I do have minor problems, but these problems on their own should not cause suicidal thoughts, or temptations on hurting myself. Am I just an over reactive teenager?",healthcare,2
"Hello, My wife was pregnant. Today the doctor told her the baby vanished. The only thing i could find on line about this was vanishing twin syndrome. We were not told before this that she had twins. So how can vanishing hapeen with only one fetus. Thank you.",healthcare,2
"my buddy, age about 56 is feeling a little light headed. i think he might have passed out or almost fainted in the bathroom earlier- he s not saying for sure. his blood pressure measured on a home auto check unit was 134/97. He doesn t want to go to the doctor but he is laying down. what do you think?",healthcare,2
Dear doctorMy brother is admitted in hospital for portal hypertension. His body is very weak. Now doctor say he is also having prostate problem. The kidney is now working only 50%. they had conducted three dialysis and not doing it now. Is it possible for the replacement of liver,healthcare,2
"I have been having sharp pain in my lower chest under my rib cage lately. I was wondering if it was anything to worry about. I do have a hiatal hernia. I also have suffered from kidney stones and have a cat scan done every year to make sure they dont get too large. I also have asthma, and esphophagal reflux disease and have had my gallbladder removed. Should I  be worried about this pain? I am on oxycontin for pain for interstitial cystitis and have to take milk of magnesia every day for bowel movements.",healthcare,2
"i ve been having what seem like skipped heart beats... They happen as much as 3 or 4 times a day sometimes. i m only 28, but i haven t always been the healthiest... I m not over weight but i did drink alot in the past. Could I have damaged my heart?",healthcare,2
"My P.A.. just told me that I have a Low White Blood Count  (3.6 -  the normal here is 4.1 - 10.9)  The clinic just put in a new computer system so he cant easily check past counts & feels this is probably due to a  respiratory problem I had a month or so ago, but I just checked my lab results from last year and found that it was a tiny bit low then too (4.0 ).  Ive been tired lately and am now wondering if I should ignore the low count or ask for other things to be checked to make sure theres nothing serious going on?",healthcare,2
"Hi sir, i had 3 release in a single intercourse but i released for the 2consecutive ejaculation..but for the 3rd and last ejaculation, i released inside.Its my wife ovulation that time.I think my last release is already weak..is there still tendency that she gets pregnant?",healthcare,2
"Hi my name is Christina, Im almost 22 years old and I grind my teeth in my sleep (ever since I was young). The past 4+ years Ive had minor TMJ, just the painless clicking in my jaw and misaligned overbite. The past couple of weeks Ive notice that my gum on one of my front tooth is receding. I have 2 questions",healthcare,2
