dataset_name,threshold,accuracy,precision,recall,f1,true_positives,false_positives,false_negatives,true_negatives
jigsaw,0.5,0.03982576228998133,0.0,0,0,0,3086,0,128
jigsaw,0.75,0.21375233354075918,0.0,0,0,0,2527,0,687
jigsaw,0.9,0.3550093341630367,0.0,0,0,0,2073,0,1141
jigsaw,0.99,0.575917859365277,0.0,0,0,0,1363,0,1851
olid,0.5,0.0010630220197418376,0.0,0,0,0,13156,0,14
olid,0.75,0.017388003037205772,0.0,0,0,0,12941,0,229
olid,0.9,0.0387243735763098,0.0,0,0,0,12660,0,510
olid,0.99,0.07760060744115414,0.0,0,0,0,12148,0,1022
hate_xplain,0.5,0.0015164279696714407,0.0,0,0,0,5926,0,9
hate_xplain,0.75,0.011794439764111205,0.0,0,0,0,5865,0,70
hate_xplain,0.9,0.02443133951137321,0.0,0,0,0,5790,0,145
hate_xplain,0.99,0.051390058972198824,0.0,0,0,0,5630,0,305
tuke_sk,0.5,0.0018550724637681159,0.0,0,0,0,8609,0,16
tuke_sk,0.75,0.02388405797101449,0.0,0,0,0,8419,0,206
tuke_sk,0.9,0.04568115942028986,0.0,0,0,0,8231,0,394
tuke_sk,0.99,0.10434782608695652,0.0,0,0,0,7725,0,900
dkk,0.5,0.0,0.0,0,0,0,41,0,0
dkk,0.75,0.0,0.0,0,0,0,41,0,0
dkk,0.9,0.12195121951219512,0.0,0,0,0,36,0,5
dkk,0.99,0.36585365853658536,0.0,0,0,0,26,0,15
dkk_all,0.5,0.0060790273556231,0.0,0,0,0,327,0,2
dkk_all,0.75,0.0486322188449848,0.0,0,0,0,313,0,16
dkk_all,0.9,0.1033434650455927,0.0,0,0,0,295,0,34
dkk_all,0.99,0.20972644376899696,0.0,0,0,0,260,0,69
